"","idx","positive","negative","sentiment","covid","DateTime","Text"
"144",144,4,0,4,TRUE,"2020-03-29 20:06:35+00:00","So proud of the @USACEHQ, @FEMA, and the Federal Government for the 2,900 bed hospital they built in 4 days (way ahead of schedule) in the Javits Center for NY. We are now moving the teams to join others so they can continue to build more hospitals/beds. Keep up the GREAT WORK!"
"145",145,3,0,3,FALSE,"2020-03-29 20:03:36+00:00","Thank you very much to Ken Langone for being a great American and for your wonderful comments on @TeamCavuto."
"146",146,3,2,1,FALSE,"2020-03-29 19:00:26+00:00","I am a great friend and admirer of the Queen & the United Kingdom. It was reported that Harry and Meghan, who left the Kingdom, would reside permanently in Canada. Now they have left Canada for the U.S. however, the U.S. will not pay for their security protection. They must pay!"
"147",147,3,0,3,FALSE,"2020-03-29 18:10:52+00:00","Happy National Vietnam War Veterans Day to all of our Vietnam era Veterans. You have earned our gratitude and thanks by your actions years ago and what you have done since returning home. The Nation thanks you and your families for your service and sacrifice. We love you!"
"148",148,2,2,0,TRUE,"2020-03-29 17:49:09+00:00","...The CBS News poll said 13 percent of Republicans trusted the news media for information about the virus.” Michael M. Grynbaum @NYTimes"
"149",149,2,0,2,FALSE,"2020-03-29 17:48:37+00:00","...alone attracted 6.2 million viewers for the president’s briefing — an astounding number for a 6 p.m. cable broadcast, more akin to the viewership for a popular prime-time sitcom..."
"150",150,0,1,-1,FALSE,"2020-03-29 17:48:37+00:00","...On Monday, nearly 12.2 million people watched Mr. Trump’s briefing on CNN, Fox News and MSNBC, according to Nielsen — ‘Monday Night Football’ numbers. Millions more are watching on ABC, CBS, NBC and online streaming sites, and the audience is expanding. On Monday, Fox News..."
"151",151,2,2,0,TRUE,"2020-03-29 17:48:36+00:00","“President Trump is a ratings hit. Since reviving the daily White House briefing Mr. Trump and his coronavirus updates have attracted an average audience of 8.5 million on cable news, roughly the viewership of the season finale of ‘The Bachelor.’ Numbers are continuing to rise..."
"152",152,1,4,-3,FALSE,"2020-03-29 17:06:20+00:00","Because the “Ratings” of my News Conferences etc. are so high, “Bachelor finale, Monday Night Football type numbers” according to the @nytimes, the Lamestream Media is going CRAZY. “Trump is reaching too many people, we must stop him.” said one lunatic. See you at 5:00 P.M.!"
"153",153,0,5,-5,TRUE,"2020-03-29 16:53:31+00:00","Polls are showing tremendous disapproval of Lamestream Media coverage of the Virus crisis. The Fake News just hasn’t figured that out yet!"
"154",154,0,2,-2,FALSE,"2020-03-29 16:34:16+00:00","The Lamestream Media wants us to fail. That will NEVER happen!"
"155",155,2,0,2,TRUE,"2020-03-29 16:12:52+00:00","Hope the FDA can approve Mask Sterilization equipment ASAP. As per Governor @MikeDeWine, there is a company in Ohio, @Battelle, which has equipment that can sterilize masks quickly."
"156",156,1,2,-1,TRUE,"2020-03-29 16:07:34+00:00","“With the Tax Cuts and new Trade Deals, we were set for a tremendous growth rate this year.... and then the Virus came along.” @larry_kudlow @MariaBartiromo We were breaking all records, especially on employment. It will all come roaring back again, and fast!"
"157",157,2,0,2,FALSE,"2020-03-29 15:13:26+00:00","Highly recommended by Governor @MikeDeWine of Ohio. @FDA must move quickly!"
"158",158,2,0,2,FALSE,"2020-03-29 14:01:57+00:00","Will be doing a press conference today at 5:00 P.M. The White House. People are working harder than I have ever seen people work. It is a beautiful thing to watch!"
"159",159,2,0,2,TRUE,"2020-03-29 00:19:31+00:00","....Federal Government. A quarantine will not be necessary. Full details will be released by CDC tonight. Thank you!"
"160",160,2,2,0,TRUE,"2020-03-29 00:19:25+00:00","On the recommendation of the White House CoronaVirus Task Force, and upon consultation with the Governor’s of New York, New Jersey and Connecticut, I have asked the @CDCgov to issue a strong Travel Advisory, to be administered by the Governors, in consultation with the...."
"161",161,6,0,6,FALSE,"2020-03-28 22:30:11+00:00","With the courage of our doctors and nurses, with the skill of our scientists and innovators, with the determination of the American People, and with the grace of God, WE WILL WIN THIS WAR. When we achieve this victory, we will emerge stronger and more united than ever before!"
"162",162,0,0,0,FALSE,"2020-03-28 18:33:19+00:00",""
